e_deg,edot_deg,mu
-18.481012658227847,2.784810126582279,0.0025879146825747014
-18.481012658227847,3.2911392405063324,0.0025879120453237187
-18.481012658227847,3.797468354430382,0.0025879093903152543
-18.481012658227847,4.303797468354432,0.0025879067177260635
-18.481012658227847,4.810126582278482,0.002587904027733725
-18.481012658227847,5.3164556962025316,0.002587901320516621
-18.481012658227847,5.822784810126585,0.002587898596253919
-18.481012658227847,6.329113924050635,0.0025878958551255526
-18.481012658227847,6.835443037974684,0.0025878930973122004
-18.481012658227847,7.341772151898738,0.0025878903229952658
-18.481012658227847,7.8481012658227876,0.002587887532356857
-18.481012658227847,8.354430379746837,0.0025878847255797715
-18.481012658227847,8.860759493670887,0.0025878819028474706
-18.481012658227847,9.367088607594937,0.0025878790643440626
-18.481012658227847,9.87341772151899,0.002587876210254282
-18.481012658227847,10.37974683544304,0.0025878733407634705
-18.481012658227847,10.88607594936709,0.0025878704560575567
-18.481012658227847,11.392405063291143,0.0025878675563230347
-18.481012658227847,11.898734177215193,0.002587864641746947
-18.481012658227847,12.405063291139243,0.002587861712516861
-18.481012658227847,12.911392405063296,0.002587858768820854
-18.481012658227847,13.417721518987342,0.0025878558108474873
-18.481012658227847,13.924050632911396,0.0025878528387857907
-18.481012658227847,14.430379746835442,0.0025878498528252416
-18.481012658227847,14.936708860759495,0.0025878468531557427
-18.481012658227847,15.443037974683548,0.0025878438399676057
-18.481012658227847,15.949367088607595,0.0025878408134515293
-18.481012658227847,16.455696202531648,0.002587837773798579
-18.481012658227847,16.9620253164557,0.002587834721200169
-18.481012658227847,17.468354430379748,0.0025878316558480396
-18.481012658227847,17.9746835443038,0.002587828577934239
-18.481012658227847,18.481012658227854,0.0025878254876511063
-18.481012658227847,18.9873417721519,0.0025878223851912453
-18.481012658227847,19.493670886075954,0.0025878192707475102
-18.481012658227847,20.0,0.0025878161445129838
-17.974683544303797,-20.0,0.002588012310340098
-17.974683544303797,-19.49367088607595,0.002588010638085919
-17.974683544303797,-18.9873417721519,0.002588008941275617
-17.974683544303797,-18.481012658227847,0.0025880072200299463
-17.974683544303797,-17.974683544303797,0.002588005474471272
-17.974683544303797,-17.468354430379748,0.0025880037047235514
-17.974683544303797,-16.962025316455694,0.002588001910912323
-17.974683544303797,-16.455696202531644,0.0025880000931646895
-17.974683544303797,-15.949367088607595,0.002587998251609304
-17.974683544303797,-15.443037974683545,0.0025879963863763527
-17.974683544303797,-14.936708860759493,0.002587994497597543
-17.974683544303797,-14.430379746835442,0.002587992585406085
-17.974683544303797,-13.924050632911392,0.0025879906499366775
-17.974683544303797,-13.417721518987342,0.0025879886913254928
-17.974683544303797,-12.91139240506329,0.0025879867097101565
-17.974683544303797,-12.40506329113924,0.002587984705229738
-17.974683544303797,-11.89873417721519,0.0025879826780247296
-17.974683544303797,-11.39240506329114,0.0025879806282370307
