Time,e1,e2,e3,edot1,edot2,edot3,Kp1,Ki1,Kd1,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
1.6,-0.0020125508308410645,0.03564475476741791,-0.0492837131023407,-2.6988168644326294e-11,-0.13849453628063202,1.5282243490219116,744.912620321221,0.20927609815986012,0.006388636130596686,15.36472082258052,4.721795795456593,-9.688495250932984,16.530611038208008,-0.7346938848495483,-5.877551078796387,-28.563410754739614,41.03817206036381,-188.01612903225805,-10.202925845786353,45.6888596982825,-188.5871031209072,-28.56341155823119,41.038173151186605,-188.01613117619993,-0.01815328188240528,0.33678001165390015,-0.2199012041091919,0.0701485127210617,1.1323541402816772,-0.10861058533191681
1.64,-0.02034899592399597,0.03111964464187622,-0.03445655107498169,-5.3168986574592125e-11,-0.4562346935272217,0.6770290732383728,750.101107197099,0.48474660828343713,0.004396411370456834,13.846087757337703,8.028891677462951,-10.134767845918113,16.530611038208008,2.9387755393981934,-7.714285373687744,-36.239639361456,34.44834595378433,-189.3548387096774,-21.279657420996948,43.92734112556345,-189.94879320036947,-36.239640364877786,34.44834687507063,-189.35484084740733,-0.2548430263996124,0.2232467383146286,-0.2789998948574066,-0.09653458744287491,0.5927602648735046,0.133413165807724
1.68,-0.034030765295028687,0.0247252956032753,-0.029423102736473083,3.205702066421509,-0.8467429280281067,1.733104363665916e-05,465.0608928029014,0.06810126990718784,0.006388636130596687,11.929991363927133,11.097850958755014,-10.020881574987662,15.795919418334961,6.612245082855225,-8.448980331420898,-42.432212874737544,26.44820051634812,-190.69354838709677,-30.384464546566935,39.20031206472441,-192.01896554277846,-42.432214031040004,26.44820123290964,-190.69355052271663,0.41380611062049866,0.04026458412408829,-0.42060500383377075,-0.8661603927612305,0.21013286709785461,-0.3501955270767212
1.72,-0.04823876917362213,0.02699814736843109,-0.02743518352508545,0.5680569410324097,-0.11642307043075562,5.568456286353385e-12,747.8929644489558,0.26721482908212996,0.005892752307311608,9.707644493738394,13.818836824454419,-9.34366719483627,14.693878173828125,9.551020622253418,-8.448980331420898,-46.88760660735402,17.365262642241014,-192.03225806451613,-36.6586997262457,33.4313164068786,-193.9655421130707,-46.88760786545802,17.365263125677554,-192.0322602030171,-0.24417918920516968,0.13809087872505188,-0.264659583568573,0.10412880778312683,0.5254782438278198,-0.1103830337524414
1.76,-0.04855848848819733,0.016784071922302246,-0.01561582088470459,0.22215308248996735,-1.2298734188079834,3.416584376525478e-11,750.1011071970987,0.38473280473495686,0.004899696363646778,7.289502771087802,16.10852817647714,-8.115462722650118,12.489795684814453,12.85714340209961,-8.448980331420898,-49.42341621640557,7.571388875228835,-193.3709677419355,-43.68163993025871,24.337627555795063,-195.04372565963178,-49.423417523084495,7.571389105093812,-193.37096988732705,-0.5530041456222534,-0.5166029930114746,-0.23470444977283478,-0.23918455839157104,0.7908809781074524,-0.034584496170282364
1.8,-0.039470985531806946,0.018278390169143677,0.005820319056510925,0.2603338658809662,-0.11254481971263885,7.297498022529325e-11,750.1011071970989,0.35540281566056126,0.005101309748081897,4.800028895070863,17.9103755636512,-6.365434072045864,9.551020622253418,15.061224937438965,-8.448980331420898,-49.93582535855264,-2.532458441935632,-194.70967741935485,-48.10474109869613,14.60595980395242,-194.19621674691618,-49.93582666015292,-2.5324584766411067,-194.7096795732227,-0.42358046770095825,0.14871519804000854,0.010976338759064674,0.10857170820236206,0.9035836458206177,1.150884747505188
1.84,-0.031629644334316254,0.011259019374847412,0.010719671845436096,0.5575132966041565,-0.911100447177887,-2.120875835418701,748.323815039921,0.22435534987002168,0.006370046974218223,2.3690531850014525,19.19138800603038,-4.142161008286431,6.612245082855225,17.26530647277832,-6.9795918464660645,-48.40385594331021,-12.53262661293602,-196.0483870967742,-49.947814869597444,3.2636007728055905,-195.23001413603274,-48.40385718763457,-12.532626912217655,-196.04838925773944,-0.2829646170139313,-0.10536235570907593,-0.8568384647369385,0.7152879238128662,0.15386652946472168,0.7879714965820312
1.88,-0.03558836504817009,0.007971018552780151,0.017464764416217804,0.050744205713272095,-0.7889119982719421,-0.6249996423721313,750.1011071970992,0.4928688762424713,0.00437115744494412,0.12163208418505335,19.93763441104811,-1.5162301296317156,4.408163070678711,18.734695434570312,-5.142857074737549,-44.89022697853708,-22.019707577881718,-197.38709677419354,-49.61073924643755,-5.969148414659486,-196.62976987851323,-44.89022811695655,-22.01970812968448,-197.3870989384351,-0.4474916160106659,-0.18712347745895386,0.030686907470226288,-0.16930145025253296,0.9862160682678223,0.49692559242248535
1.92,-0.036346159875392914,0.0017603933811187744,0.01841721311211586,0.11357911676168442,-0.24289827048778534,-1.35055673122406,750.101107197099,0.4609689395115956,0.004494803181764504,-1.831033947656842,20.150310163762008,1.4188759322032274,2.2040815353393555,19.83673667907715,-2.5714285373687744,-39.538786846884925,-30.605299127383145,-198.7258064516129,-47.07361906707739,-15.759968180935385,-198.4901220799343,-39.53878783643194,-30.60529990752787,-198.72580861424166,-0.44581446051597595,-0.10552745312452316,-0.16408592462539673,-0.22638565301895142,0.5578626394271851,0.33611905574798584
1.96,-0.03836839273571968,-0.0009386837482452393,0.018353063613176346,0.1314435750246048,-0.02079266682267189,-3.0436272621154785,750.1011071970988,0.44999805543262855,0.004543582307743263,-3.3976250655741933,19.843477867998725,4.549254063166903,0.36734694242477417,20.204082489013672,0.36734694242477417,-32.56862413611111,-37.93790613463955,-200.06451612903226,-42.1405157466275,-24.329838110105058,-200.44629177243573,-32.56862494115453,-37.93790710799657,-200.0645182857905,-0.4712793529033661,-0.02852984145283699,-1.0200990438461304,-0.6032991409301758,-0.48747795820236206,0.5702786445617676
