Time,e1,e2,e3,edot1,edot2,edot3,Kp,Ki,Kd,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
2.92,-0.012495607137680054,0.007974505424499512,-0.059802643954753876,0.06891421228647232,-0.1832367330789566,-4.820586204518085e-13,1050.0,10,0.015,22.391320623732398,21.717845639575888,4.012243839636033,24.612245559692383,18.734695434570312,7.3469390869140625,-42.43221287473754,26.44820051634814,-232.19354838709677,-27.634871583186165,33.186994330292436,-237.04389808758805,-42.432213833494316,26.448201113210228,-232.19355045088503,-0.24317167699337006,-0.014989852905273438,-1.142900824546814,0.24031244218349457,0.9560286998748779,-3.001835584640503
2.96,-0.019528567790985107,0.007185131311416626,-0.05820217728614807,0.00021679433120880276,-0.005886063911020756,1.110393786467323e-13,1050.0,10,0.015,20.625440978679805,23.95836236159906,4.600000391608106,23.510204315185547,21.306123733520508,7.3469390869140625,-46.887606607354016,17.365262642241035,-233.53225806451613,-34.25257393551003,26.299487959817423,-238.82475228600336,-46.88760765942921,17.36526303470163,-233.53226012362092,-0.3842228949069977,0.0469224713742733,-1.1192150115966797,-0.21029561758041382,1.0250388383865356,-2.9857425689697266
3.0,-0.018292248249053955,0.0014110803604125977,-0.047943130135536194,1.761109709739685,-4.674576759338379,7.095536723282503e-13,1050.0,10,0.015,18.6819325723832,25.85018696503498,5.671566391141009,21.67346954345703,23.87755012512207,7.3469390869140625,-49.42341621640556,7.571388875228859,-234.8709677419355,-40.91708770452079,17.07184091163496,-239.4885298985943,-49.42341731841188,7.571389048356713,-234.87096979781262,0.06687276065349579,-1.867295265197754,-0.9366914629936218,0.5200682878494263,1.1985366344451904,-2.7584075927734375
3.04,-0.02656710147857666,0.002372145652770996,-0.029240183532238007,0.025762535631656647,-0.2134651243686676,1.5234195198735034e-12,1050.0,10,0.015,16.656895630870522,27.349997803595997,7.19613817033026,20.204082489013672,25.71428680419922,7.3469390869140625,-49.93582535855264,-2.532458441935609,-236.20967741935482,-45.69507432787394,9.98199902002584,-239.43544697250016,-49.935826465615534,-2.532458494057198,-236.20967947248008,-0.510582447052002,-0.06432468444108963,-0.6248722672462463,-0.3605058193206787,-0.2816629111766815,-1.7541518211364746
3.08,-0.02985292673110962,0.0029029548168182373,-0.009044036269187927,0.0025330116041004658,-0.016083115711808205,-0.000218149769352749,1050.0,10,0.015,14.654146991811503,28.431773715603686,9.123707382544039,18.367347717285156,27.183673858642578,7.714285373687744,-48.40385594331021,-12.532626612936044,-237.5483870967742,-48.64439934384198,1.8931934433937756,-239.05544140571257,-48.403857010740154,-12.532626886777035,-237.54838914649443,-0.5860812664031982,-0.03544032946228981,-0.28503236174583435,-0.4950380325317383,0.37441739439964294,-0.26053765416145325
3.12,-0.02633988857269287,-0.0038616955280303955,-0.0010467320680618286,0.3526906371116638,-0.658163845539093,-0.6588190793991089,1050.0,10,0.015,12.77833105003254,29.083704130962634,11.385111452287845,16.163265228271484,28.653060913085938,9.183673858642578,-44.89022697853709,-22.01970757788169,-238.88709677419354,-49.14210042614329,-8.74546787421145,-239.77391599841155,-44.890227963595,-22.019708060471608,-238.88709881898436,-0.40669679641723633,-0.23012730479240417,-0.2749917805194855,0.20899149775505066,-0.31494036316871643,-1.0099472999572754
3.16,-0.027021706104278564,-0.0053067803382873535,-0.0064577460289001465,0.049830056726932526,-0.01350417174398899,-0.7734333872795105,1050.0,10,0.015,11.127716779715376,29.30551074460525,13.89369428016753,14.326530456542969,29.38775634765625,11.755102157592773,-39.53878684688492,-30.60529912738315,-240.2258064516129,-45.177715207639416,-18.80623615250494,-241.8993139616815,-39.538787710512665,-30.60529979686685,-240.22580848963474,-0.5172134637832642,-0.15563568472862244,-0.41567835211753845,-0.3955222964286804,-0.14688794314861298,-1.2297009229660034
3.2,-0.03018447756767273,-0.0014356374740600586,-0.0011429190635681152,0.025865796953439713,2.618508708474021e-13,-0.012330316938459873,1050.0,10,0.015,9.788122924079953,29.106885546045785,16.54932769610454,12.85714340209961,29.38775634765625,13.959183692932129,-32.56862413611113,-37.93790613463952,-241.56451612903226,-39.90825281620269,-26.17410952073345,-243.09652832996616,-32.5686248444734,-37.93790696139656,-241.5645181587653,-0.5729013681411743,-0.08362320065498352,-0.1469694823026657,-0.801978588104248,-0.2096470594406128,-0.654594361782074
3.24,-0.02791924774646759,-0.004901885986328125,-0.0060852766036987305,0.004350189119577408,-2.3776735246471004e-13,-4.842988967895508,1050.0,10,0.015,8.828849778503123,28.507300577783056,19.24484744004178,11.387755393981934,29.38775634765625,16.897960662841797,-24.265098126554044,-43.71733080722911,-242.90322580645162,-32.75147138867883,-34.697437963040066,-244.8967857305195,-24.265098652293776,-43.7173317554395,-242.90322782716257,-0.5464900732040405,-0.14130303263664246,-2.0832767486572266,-0.6411848068237305,-0.2662707269191742,-0.8339652419090271
3.28,-0.02542795240879059,-0.015366882085800171,0.0024916231632232666,0.025990964844822884,-7.223005288499451e-13,-0.06762436777353287,1050.0,10,0.015,8.300686654011697,27.53704111623567,21.874018730928498,10.285714149475098,29.38775634765625,19.102041244506836,-14.968156148667934,-47.70696282000243,-244.24193548387098,-27.23190064254956,-41.11097806249348,-245.8576430951376,-14.968156471866829,-47.706963849448854,-244.24193749574798,-0.4990991950035095,-0.3230626583099365,-0.07936032116413116,-0.7622331976890564,-0.8292855024337769,-0.8066161870956421
